week Manager AVG ERA HR RBI Runs Saves SB Strikeouts WHIP Wins ROTO
18 Matt 0.311 2.82 11 34 31 2 7 23 1.07 2 62
18 Noah 0.3 6.18 10 24 31 1 6 33 1.6 2 34
18 Owen 0.235 3.59 9 26 16 2 0 67 1.2 5 41.5
18 Ryan 0.259 4.5 9 27 34 3 2 70 1.43 5 46
18 Wyatt 0.289 4.4 15 38 34 4 2 76 1.33 4 68.5
19 Austin 0.232 4.01 2 18 16 8 7 40 1.46 2 35
19 Dan 0.311 3.19 14 30 45 8 2 48 1.15 3 70.5
19 Edward 0.277 3.63 11 30 31 5 5 61 1.31 6 63.5
19 Jordan 0.255 2.06 11 25 29 3 0 37 1.17 6 48
19 Josh 0.264 4.16 9 31 27 2 9 55 1.35 5 51
19 Matt 0.347 3.2 14 31 33 0 5 62 1.15 4 72.5
19 Noah 0.295 4.05 13 31 39 4 5 49 1.4 3 60.5
19 Owen 0.316 4.61 11 30 34 2 4 82 1.51 3 47.5
19 Ryan 0.231 4.55 9 30 38 5 6 48 1.34 2 45
19 Wyatt 0.294 3.94 14 51 34 3 4 35 1.34 3 56.5
20 Austin 0.274 3.46 10 32 25 4 3 72 1.19 4 61.5
20 Dan 0.289 4.32 15 45 30 7 7 63 1.31 2 61.5
20 Edward 0.225 5.52 9 23 31 6 4 72 1.39 2 46.5
20 Jordan 0.216 2.49 6 21 31 4 3 65 1.09 4 52.5
20 Josh 0.205 3.51 12 31 32 6 7 98 1.12 6 73
20 Matt 0.225 4.25 11 30 24 0 1 46 1.36 3 33
20 Noah 0.215 4.44 4 19 26 7 4 67 1.29 7 46.5
20 Owen 0.245 2.85 8 28 29 0 1 65 1.03 5 53
20 Ryan 0.231 4.08 9 23 27 4 2 65 1.26 3 45
20 Wyatt 0.305 1.63 18 50 41 7 2 64 0.8 2 77.5
21 Austin 0.287 4.11 11 33 31 2 6 59 1.38 7 59
21 Dan 0.311 2.98 7 34 29 5 3 53 0.95 5 64
21 Edward 0.28 2.8 11 35 37 4 8 57 1 3 73.5
21 Jordan 0.271 3.38 5 24 30 2 2 40 1.24 2 28
21 Josh 0.332 2.8 6 23 27 4 7 80 1.08 7 63
21 Matt 0.337 2.37 11 36 40 3 7 53 0.97 5 80.5
21 Noah 0.276 3.36 9 28 34 3 4 54 1.29 4 53.5
21 Owen 0.297 3.54 7 28 26 3 2 44 1.4 3 36
21 Ryan 0.234 2.43 8 27 29 5 9 57 1.11 3 59.5
21 Wyatt 0.238 7.25 7 24 24 2 1 59 1.59 9 33
