Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Domingo Leyba	0	636	NaN	NaN	NaN	NaN	0.257	0
Matt Thaiss	0	637	NaN	NaN	NaN	NaN	0.243	0
Correlle Prime	0	638	NaN	NaN	NaN	NaN	0.249	0
Cedric Mullins	0	639	NaN	NaN	NaN	NaN	0.243	0
Tomas Telis	1.5	640	0.667	2	2	0	0.264	9
John Hicks	7.333	641	0.682	2.455	2.727	0.409	0.249	44
Keon Broxton	6.333	642	0.789	2.526	2.526	1.105	0.213	38
Ryan Brett	0	643	NaN	NaN	NaN	NaN	0.257	0
Nick Hundley	4.333	644	0.692	2.308	2.769	0.231	0.242	26
Donald Dewees Jr.	0	645	NaN	NaN	NaN	NaN	0.25	0
Yonathan Daza	0	646	NaN	NaN	NaN	NaN	0.277	0
Raudy Read	0.833	647	0	2.4	2.4	0	0.248	5
Forrestt Allday	0	648	NaN	NaN	NaN	NaN	0.248	0
Jae-Gyun Hwang	0	649	NaN	NaN	NaN	NaN	0.247	0
Ty Kelly	0	650	NaN	NaN	NaN	NaN	0.238	0
Wes Rogers	0	651	NaN	NaN	NaN	NaN	0.257	0
Brett Nicholas	0	652	NaN	NaN	NaN	NaN	0.251	0
Blake Swihart	3.5	653	0.571	2.571	2.286	0.286	0.242	21
Dustin Martin	0	654	NaN	NaN	NaN	NaN	0.228	0
Juan Lagares	8.833	655	0.453	2.151	2.264	0.453	0.255	53
Kelby Tomlinson	5.5	656	0.182	2.182	2	0.727	0.26	33
Jose Cardona	0	657	NaN	NaN	NaN	NaN	0.256	0
Jake Cave	0.833	658	0	2.4	2.4	0	0.242	5
Carlos Perez	1.333	659	0.75	2.25	2.25	0	0.246	8
Pablo Reyes	0	660	NaN	NaN	NaN	NaN	0.249	0
Chris Heisey	0	661	NaN	NaN	NaN	NaN	0.215	0
Greg Allen	1.333	662	0	2.25	2.25	0.75	0.247	8
Matt Skole	0	663	NaN	NaN	NaN	NaN	0.209	0
Destin Hood	0	664	NaN	NaN	NaN	NaN	0.236	0
Rymer Liriano	0	665	NaN	NaN	NaN	NaN	0.233	0
Paulo Orlando	13	666	0.385	2.385	2.385	0.462	0.263	78
Renato Nunez	0.833	667	1.2	2.4	2.4	0	0.223	5
Tyler Goeddel	0	668	NaN	NaN	NaN	NaN	0.236	0
Ashley Graeter	0	669	NaN	NaN	NaN	NaN	0.253	0
Jamie Westbrook	0	670	NaN	NaN	NaN	NaN	0.26	0
Mike O'Neill	0	671	NaN	NaN	NaN	NaN	0.251	0
Ruben Sosa	0	672	NaN	NaN	NaN	NaN	0.248	0
Cyle Hankerd	0	673	NaN	NaN	NaN	NaN	0.232	0
Willy Adames	1.333	674	0.75	2.25	2.25	0.75	0.235	8
Ryan Rua	2.167	675	0.923	2.769	2.769	0.462	0.228	13
David Bote	0.333	676	0	3	3	0	0.243	2
Tony Wolters	5.5	677	0.364	2.182	2.182	0.182	0.246	33
Allen Cordoba	4.5	678	0.444	2.222	2.222	0.444	0.246	27
Wilmer Difo	10.167	679	0.295	2.164	2.262	0.59	0.26	61
Ike Davis	0	680	NaN	NaN	NaN	NaN	0.215	0
Mark Minicozzi	0	681	NaN	NaN	NaN	NaN	0.24	0
Matt Szczur	4.833	682	0.414	2.069	2.069	0.414	0.239	29
Giovanny Urshela	5.833	683	0.514	2.571	2.571	0.171	0.255	35
Derrik Gibson	0	684	NaN	NaN	NaN	NaN	0.25	0
Rob Segedin	2.5	685	0.8	2.4	2.4	0.4	0.235	15
Aderlin Rodriguez	0	686	NaN	NaN	NaN	NaN	0.239	0
Mike Olt	0	687	NaN	NaN	NaN	NaN	0.219	0
Dustin Ackley	0	688	NaN	NaN	NaN	NaN	0.238	0
Jett Bandy	3.333	689	0.6	2.4	2.7	0.3	0.229	20
Jared Walsh	0	690	NaN	NaN	NaN	NaN	0.246	0
Erick Aybar	1	691	0	3	3	1	0.257	6
Taylor Davis	0.333	692	0	3	3	0	0.247	2
Dariel Alvarez	0	693	NaN	NaN	NaN	NaN	0.257	0
Osmel Aguila	0	694	NaN	NaN	NaN	NaN	0.233	0
Bo Bichette	0	695	NaN	NaN	NaN	NaN	0.255	0
Ronald Torreyes	9.5	696	0.316	2.316	2.211	0.316	0.266	57
Jesus Castillo	0	697	NaN	NaN	NaN	NaN	0.24	0
Cam Maron	0	698	NaN	NaN	NaN	NaN	0.242	0
Michael McKenry	0	699	NaN	NaN	NaN	NaN	0.209	0
Tim Federowicz	0	700	NaN	NaN	NaN	NaN	0.236	0
Nate Tenbrink	0	701	NaN	NaN	NaN	NaN	0.236	0
Hector Sanchez	0	702	NaN	NaN	NaN	NaN	0.232	0
Todd Cunningham	0	703	NaN	NaN	NaN	NaN	0.245	0
Tyler Wade	9.5	704	0.316	2.526	2.211	1.053	0.243	57
Juremi Profar	0	705	NaN	NaN	NaN	NaN	0.253	0
Ben Paulsen	0	706	NaN	NaN	NaN	NaN	0.233	0
Kevin Kramer	0	707	NaN	NaN	NaN	NaN	0.251	0
Leonys Martin	12	708	0.583	2.583	2.417	1	0.242	72
Danry Vasquez	0	709	NaN	NaN	NaN	NaN	0.25	0
Chuck Taylor	0	710	NaN	NaN	NaN	NaN	0.237	0
Sebastian Elizalde	0	711	NaN	NaN	NaN	NaN	0.252	0
Peter Bourjos	1.333	712	0.75	2.25	2.25	0.75	0.237	8
Melvin Upton Jr.	2.667	713	0.75	2.625	2.625	0.75	0.226	16
Bryson Myles	0	714	NaN	NaN	NaN	NaN	0.229	0
Austin Hedges	17.5	715	0.914	2.286	2.857	0.171	0.231	105
Dioner Navarro	8	716	0.625	2.25	2.5	0.25	0.235	48
Franchy Cordero	4.667	717	0.643	2.357	2.571	0.643	0.242	28
Harold Ramirez	0	718	NaN	NaN	NaN	NaN	0.256	0
Dylan Cozens	2.667	719	1.125	2.625	3	0.375	0.207	16
Darrell Ceciliani	0	720	NaN	NaN	NaN	NaN	0.244	0
Michael Benjamin	0	721	NaN	NaN	NaN	NaN	0.253	0
Travis Demeritte	0	722	NaN	NaN	NaN	NaN	0.227	0
Joey Meneses	0	723	NaN	NaN	NaN	NaN	0.249	0
Rafael Ortega	3	724	0.333	2	2	0.667	0.253	18
Mark Payton	0	725	NaN	NaN	NaN	NaN	0.24	0
Max Murphy	0	726	NaN	NaN	NaN	NaN	0.247	0
Ben Revere	1.167	727	0	1.714	1.714	0.857	0.269	7
Amed Rosario	22.5	728	0.4	2.178	2.267	0.667	0.257	135
Felix Perez	0	729	NaN	NaN	NaN	NaN	0.235	0
Erich Weiss	0	730	NaN	NaN	NaN	NaN	0.249	0
Zack Collins	0	731	NaN	NaN	NaN	NaN	0.199	0
Freddy Galvis	14.667	732	0.545	2.455	2.386	0.477	0.247	88
O'Koyea Dickson	0	733	NaN	NaN	NaN	NaN	0.226	0
Daniel Butler	0	734	NaN	NaN	NaN	NaN	0.236	0
Max Muncy	0	735	NaN	NaN	NaN	NaN	0.218	0
Henry Urrutia	0	736	NaN	NaN	NaN	NaN	0.253	0
Jake Goebbert	0	737	NaN	NaN	NaN	NaN	0.221	0
Tony Renda	0	738	NaN	NaN	NaN	NaN	0.26	0
Jason Vosler	0	739	NaN	NaN	NaN	NaN	0.229	0
Devan Ahart	0	740	NaN	NaN	NaN	NaN	0.242	0
Kyle Waldrop	0	741	NaN	NaN	NaN	NaN	0.247	0
David Vidal	0	742	NaN	NaN	NaN	NaN	0.243	0
Matt Davidson	20.667	743	1.065	2.613	2.952	0.097	0.212	124
Josh Tobias	0	744	NaN	NaN	NaN	NaN	0.26	0
Eric Aguilera	0	745	NaN	NaN	NaN	NaN	0.234	0
Jeff Hendrix	0	746	NaN	NaN	NaN	NaN	0.239	0
Will Middlebrooks	0	747	NaN	NaN	NaN	NaN	0.221	0
Caleb Joseph	9.667	748	0.724	2.483	2.586	0.103	0.236	58
Connor Marabell	0	749	NaN	NaN	NaN	NaN	0.252	0
Luis Torrens	1.333	750	0.75	2.25	2.25	0	0.24	8
Tito Polo	0	751	NaN	NaN	NaN	NaN	0.244	0
Jake Marisnick	9.5	752	0.737	2.632	2.737	0.842	0.225	57
Nicky Lopez	0	753	NaN	NaN	NaN	NaN	0.258	0
Steven Moya	0	754	NaN	NaN	NaN	NaN	0.227	0
Victor Reyes	5.833	755	0.343	2.4	2.229	0.686	0.267	35
Casey McGehee	0	756	NaN	NaN	NaN	NaN	0.249	0
Clint Coulter	0	757	NaN	NaN	NaN	NaN	0.227	0
Tim Lynch	0	758	NaN	NaN	NaN	NaN	0.228	0
