Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Ramon Hernandez	0	1964	NaN	NaN	NaN	NaN	0.215	0
Manny Sanchez	0	1965	NaN	NaN	NaN	NaN	0.201	0
Anthony Pereira	0	1966	NaN	NaN	NaN	NaN	0.214	0
Khalil Lee	0	1967	NaN	NaN	NaN	NaN	0.184	0
Brian Miller	0	1968	NaN	NaN	NaN	NaN	0.211	0
Matt Reistetter	0	1969	NaN	NaN	NaN	NaN	0.206	0
Bradley Strong	0	1970	NaN	NaN	NaN	NaN	0.212	0
Cody Daily	0	1971	NaN	NaN	NaN	NaN	0.206	0
Skyler Ewing	0	1972	NaN	NaN	NaN	NaN	0.191	0
Will Smith	0	1973	NaN	NaN	NaN	NaN	0.185	0
Chad Johnson	0	1974	NaN	NaN	NaN	NaN	0.192	0
Jeremy Martinez	0	1975	NaN	NaN	NaN	NaN	0.206	0
Joey Pankake	0	1976	NaN	NaN	NaN	NaN	0.196	0
Jose Briceno	0	1977	NaN	NaN	NaN	NaN	0.205	0
Hamlet Marte	0	1978	NaN	NaN	NaN	NaN	0.205	0
Blake Perkins	0	1979	NaN	NaN	NaN	NaN	0.198	0
John Mora	0	1980	NaN	NaN	NaN	NaN	0.204	0
Uriak Marquez	0	1981	NaN	NaN	NaN	NaN	0.209	0
Jonah Arenado	0	1982	NaN	NaN	NaN	NaN	0.211	0
Matt Winn	0	1983	NaN	NaN	NaN	NaN	0.189	0
Alex Kowalczyk	0	1984	NaN	NaN	NaN	NaN	0.208	0
Parker Morin	0	1985	NaN	NaN	NaN	NaN	0.204	0
Jeff Glenn	0	1986	NaN	NaN	NaN	NaN	0.188	0
Michael De La Cruz	0	1987	NaN	NaN	NaN	NaN	0.204	0
Zac Shepherd	0	1988	NaN	NaN	NaN	NaN	0.177	0
Juan Martinez	0	1989	NaN	NaN	NaN	NaN	0.209	0
Ricky Rodriguez	0	1990	NaN	NaN	NaN	NaN	0.197	0
Donny Sands	0	1991	NaN	NaN	NaN	NaN	0.209	0
Jordan Cowan	0	1992	NaN	NaN	NaN	NaN	0.216	0
Narciso Crook	0	1993	NaN	NaN	NaN	NaN	0.195	0
Trey Vavra	0	1994	NaN	NaN	NaN	NaN	0.198	0
Brett Pirtle	0	1995	NaN	NaN	NaN	NaN	0.22	0
Omar Quintanilla	0	1996	NaN	NaN	NaN	NaN	0.207	0
Paul Hendrix	0	1997	NaN	NaN	NaN	NaN	0.2	0
Drew Longley	0	1998	NaN	NaN	NaN	NaN	0.189	0
Will Allen	0	1999	NaN	NaN	NaN	NaN	0.204	0
Preston Palmeiro	0	2000	NaN	NaN	NaN	NaN	0.201	0
Rodrigo Orozco	0	2001	NaN	NaN	NaN	NaN	0.207	0
Omar Garcia	0	2002	NaN	NaN	NaN	NaN	0.209	0
Eliezer Ortiz	0	2003	NaN	NaN	NaN	NaN	0.215	0
Vince Jackson	0	2004	NaN	NaN	NaN	NaN	0.201	0
Roberto Valencia	0	2005	NaN	NaN	NaN	NaN	0.215	0
Mitch Nay	0	2006	NaN	NaN	NaN	NaN	0.201	0
Ivan Jimenez	0	2007	NaN	NaN	NaN	NaN	0.208	0
Tres Barrera	0	2008	NaN	NaN	NaN	NaN	0.2	0
Michael Fransoso	0	2009	NaN	NaN	NaN	NaN	0.205	0
Bralin Jackson	0	2010	NaN	NaN	NaN	NaN	0.205	0
Bobby Ison	0	2011	NaN	NaN	NaN	NaN	0.21	0
Chris Iriart	0	2012	NaN	NaN	NaN	NaN	0.187	0
Luis Alexander Basabe	0	2013	NaN	NaN	NaN	NaN	0.193	0
Junior Arias	0	2014	NaN	NaN	NaN	NaN	0.198	0
Oswaldo Morejon	0	2015	NaN	NaN	NaN	NaN	0.218	0
Joey Armstrong	0	2016	NaN	NaN	NaN	NaN	0.198	0
D.J. Davis	0	2017	NaN	NaN	NaN	NaN	0.203	0
Jeff Gelalich	0	2018	NaN	NaN	NaN	NaN	0.191	0
Max McDowell	0	2019	NaN	NaN	NaN	NaN	0.198	0
Randy Cesar	0	2020	NaN	NaN	NaN	NaN	0.211	0
Clark Eagan	0	2021	NaN	NaN	NaN	NaN	0.212	0
Jesus Valenzuela	0	2022	NaN	NaN	NaN	NaN	0.204	0
Moises Gutierrez	0	2023	NaN	NaN	NaN	NaN	0.209	0
Sean Miller	0	2024	NaN	NaN	NaN	NaN	0.227	0
Jose Luna	0	2025	NaN	NaN	NaN	NaN	0.213	0
Stephen Alemais	0	2026	NaN	NaN	NaN	NaN	0.216	0
Jeff Arnold	0	2027	NaN	NaN	NaN	NaN	0.182	0
Norberto Susini	0	2028	NaN	NaN	NaN	NaN	0.18	0
Chris Keck	0	2029	NaN	NaN	NaN	NaN	0.193	0
Joel Booker	0	2030	NaN	NaN	NaN	NaN	0.212	0
Weston Wilson	0	2031	NaN	NaN	NaN	NaN	0.202	0
Jairo Rodriguez	0	2032	NaN	NaN	NaN	NaN	0.204	0
Josh Hart	0	2033	NaN	NaN	NaN	NaN	0.212	0
Dexter Kjerstad	0	2034	NaN	NaN	NaN	NaN	0.198	0
Michael Paez	0	2035	NaN	NaN	NaN	NaN	0.194	0
Tyler Stephenson	0	2036	NaN	NaN	NaN	NaN	0.196	0
Carlos Rodriguez	0	2037	NaN	NaN	NaN	NaN	0.194	0
Franklin Guzman	0	2038	NaN	NaN	NaN	NaN	0.195	0
Kevin Garcia	0	2039	NaN	NaN	NaN	NaN	0.213	0
Terry McClure	0	2040	NaN	NaN	NaN	NaN	0.203	0
Eliezer Zambrano	0	2041	NaN	NaN	NaN	NaN	0.213	0
Heath Quinn	0	2042	NaN	NaN	NaN	NaN	0.197	0
David Jacob	0	2043	NaN	NaN	NaN	NaN	0.199	0
Colby Lusignan	0	2044	NaN	NaN	NaN	NaN	0.193	0
Omar Meza	0	2045	NaN	NaN	NaN	NaN	0.204	0
Nick Heath	0	2046	NaN	NaN	NaN	NaN	0.209	0
Max Kuhn	0	2047	NaN	NaN	NaN	NaN	0.197	0
Todd Hankins	0	2048	NaN	NaN	NaN	NaN	0.203	0
Miguel Rodriguez	0	2049	NaN	NaN	NaN	NaN	0.203	0
Carlos Vidal	0	2050	NaN	NaN	NaN	NaN	0.21	0
Rodrigo Ayarza	0	2051	NaN	NaN	NaN	NaN	0.214	0
Champ Stuart	0	2052	NaN	NaN	NaN	NaN	0.187	0
Jermaine Palacios	0	2053	NaN	NaN	NaN	NaN	0.215	0
Miguel Aparicio	0	2054	NaN	NaN	NaN	NaN	0.213	0
Chase Jensen	0	2055	NaN	NaN	NaN	NaN	0.2	0
Boo Vazquez	0	2056	NaN	NaN	NaN	NaN	0.203	0
Shawon Dunston Jr.	0	2057	NaN	NaN	NaN	NaN	0.205	0
Logan Taylor	0	2058	NaN	NaN	NaN	NaN	0.192	0
Humberto Sosa	0	2059	NaN	NaN	NaN	NaN	0.198	0
Richard Fecteau	0	2060	NaN	NaN	NaN	NaN	0.212	0
Austin Byler	0	2061	NaN	NaN	NaN	NaN	0.195	0
Francisco Rivera	0	2062	NaN	NaN	NaN	NaN	0.199	0
Ricardo Serrano	0	2063	NaN	NaN	NaN	NaN	0.209	0
Jason Martinson	0	2064	NaN	NaN	NaN	NaN	0.181	0
Jordan Devencenzi	0	2065	NaN	NaN	NaN	NaN	0.209	0
Ben Moore	0	2066	NaN	NaN	NaN	NaN	0.208	0
Omar Obregon	0	2067	NaN	NaN	NaN	NaN	0.218	0
Dillon Dobson	0	2068	NaN	NaN	NaN	NaN	0.198	0
Luis Ayala	0	2069	NaN	NaN	NaN	NaN	0.209	0
Francisco Ferreiro	0	2070	NaN	NaN	NaN	NaN	0.204	0
Patrick Cantwell	0	2071	NaN	NaN	NaN	NaN	0.2	0
Evan Mendoza	0	2072	NaN	NaN	NaN	NaN	0.21	0
Rashad Brown	0	2073	NaN	NaN	NaN	NaN	0.209	0
Aldrem Corredor	0	2074	NaN	NaN	NaN	NaN	0.204	0
Jose Sanchez	0	2075	NaN	NaN	NaN	NaN	0.204	0
Gio Brusa	0	2076	NaN	NaN	NaN	NaN	0.195	0
David Masters	0	2077	NaN	NaN	NaN	NaN	0.199	0
Brandon Wagner	0	2078	NaN	NaN	NaN	NaN	0.187	0
Eder Salcedo	0	2079	NaN	NaN	NaN	NaN	0.207	0
Jacob Bosiokovic	0	2080	NaN	NaN	NaN	NaN	0.197	0
Carlos Penuelas	0	2081	NaN	NaN	NaN	NaN	0.211	0
Kyle Holder	0	2082	NaN	NaN	NaN	NaN	0.219	0
Taylor Snyder	0	2083	NaN	NaN	NaN	NaN	0.201	0
Robbie Garvey	0	2084	NaN	NaN	NaN	NaN	0.207	0
Jake Fincher	0	2085	NaN	NaN	NaN	NaN	0.203	0
Austin Upshaw	0	2086	NaN	NaN	NaN	NaN	0.21	0
Derek Campbell	0	2087	NaN	NaN	NaN	NaN	0.203	0
Charles Leblanc	0	2088	NaN	NaN	NaN	NaN	0.204	0
Sharif Othman	0	2089	NaN	NaN	NaN	NaN	0.199	0
Sean Bouchard	0	2090	NaN	NaN	NaN	NaN	0.196	0
Luis Liberato	0	2091	NaN	NaN	NaN	NaN	0.194	0
Michael Suiter	0	2092	NaN	NaN	NaN	NaN	0.199	0
Isaias Tejeda	0	2093	NaN	NaN	NaN	NaN	0.202	0
Sebastian Valle	0	2094	NaN	NaN	NaN	NaN	0.191	0
Jake Burger	0	2095	NaN	NaN	NaN	NaN	0.2	0
Junnell Ledezma	0	2096	NaN	NaN	NaN	NaN	0.209	0
Israel Nunez	0	2097	NaN	NaN	NaN	NaN	0.206	0
Seth Spivey	0	2098	NaN	NaN	NaN	NaN	0.2	0
Adan Munoz	0	2099	NaN	NaN	NaN	NaN	0.204	0
Angel Erro	0	2100	NaN	NaN	NaN	NaN	0.204	0
Tyler Alamo	0	2101	NaN	NaN	NaN	NaN	0.208	0
Troy Sieber	0	2102	NaN	NaN	NaN	NaN	0.189	0
Reed Harper	0	2103	NaN	NaN	NaN	NaN	0.208	0
Japhet Amador	0	2104	NaN	NaN	NaN	NaN	0.183	0
Julian Castro	0	2105	NaN	NaN	NaN	NaN	0.215	0
Jose Sermo	0	2106	NaN	NaN	NaN	NaN	0.195	0
Josh Delph	0	2107	NaN	NaN	NaN	NaN	0.195	0
Ariel Serrano	0	2108	NaN	NaN	NaN	NaN	0.2	0
Wuilmer Becerra	0	2109	NaN	NaN	NaN	NaN	0.209	0
Lane Thomas	0	2110	NaN	NaN	NaN	NaN	0.199	0
Carlos Ibarra	0	2111	NaN	NaN	NaN	NaN	0.201	0
Mike Hill	0	2112	NaN	NaN	NaN	NaN	0.198	0
Zach Kapstein	0	2113	NaN	NaN	NaN	NaN	0.196	0
Sam Dexter	0	2114	NaN	NaN	NaN	NaN	0.206	0
Chris Valencia	0	2115	NaN	NaN	NaN	NaN	0.205	0
Flavio Romero	0	2116	NaN	NaN	NaN	NaN	0.188	0
Michael Gettys	0	2117	NaN	NaN	NaN	NaN	0.195	0
Ramon R Ramirez	0	2118	NaN	NaN	NaN	NaN	0.207	0
Bobby Dalbec	0	2119	NaN	NaN	NaN	NaN	0.187	0
Kyle Nowlin	0	2120	NaN	NaN	NaN	NaN	0.19	0
Steven Linkous	0	2121	NaN	NaN	NaN	NaN	0.206	0
Cristian Paulino	0	2122	NaN	NaN	NaN	NaN	0.213	0
Robbie Tenerowicz	0	2123	NaN	NaN	NaN	NaN	0.206	0
Arturo Michelena	0	2124	NaN	NaN	NaN	NaN	0.208	0
Ayendy Perez	0	2125	NaN	NaN	NaN	NaN	0.206	0
Armando Araiza	0	2126	NaN	NaN	NaN	NaN	0.192	0
Xavier Fernandez	0	2127	NaN	NaN	NaN	NaN	0.204	0
Tanner Murphy	0	2128	NaN	NaN	NaN	NaN	0.187	0
Brian Schales	0	2129	NaN	NaN	NaN	NaN	0.199	0
Daniel Arribas	0	2130	NaN	NaN	NaN	NaN	0.192	0
Chad Sedio	0	2131	NaN	NaN	NaN	NaN	0.202	0
Dallas Carroll	0	2132	NaN	NaN	NaN	NaN	0.196	0
Jecksson Flores	0	2133	NaN	NaN	NaN	NaN	0.214	0
Carlos Eduardo Gonzalez	0	2134	NaN	NaN	NaN	NaN	0.194	0
David Lyon	0	2135	NaN	NaN	NaN	NaN	0.176	0
Gabriel Mejia	0	2136	NaN	NaN	NaN	NaN	0.214	0
Julian Ornelas	0	2137	NaN	NaN	NaN	NaN	0.194	0
Jose Medina	0	2138	NaN	NaN	NaN	NaN	0.193	0
A.J. Murray	0	2139	NaN	NaN	NaN	NaN	0.192	0
Luis Gonzalez	0	2140	NaN	NaN	NaN	NaN	0.218	0
Jonah Heim	0	2141	NaN	NaN	NaN	NaN	0.199	0
Ben Verlander	0	2142	NaN	NaN	NaN	NaN	0.199	0
Arvicent Perez	0	2143	NaN	NaN	NaN	NaN	0.216	0
Leobaldo Pina	0	2144	NaN	NaN	NaN	NaN	0.214	0
Justin Ellison	0	2145	NaN	NaN	NaN	NaN	0.199	0
Luke Persico	0	2146	NaN	NaN	NaN	NaN	0.206	0
Ricardo Andujar	0	2147	NaN	NaN	NaN	NaN	0.216	0
Angel Moreno	0	2148	NaN	NaN	NaN	NaN	0.208	0
Ivan Bellazetin	0	2149	NaN	NaN	NaN	NaN	0.209	0
Li-Jen Chu	0	2150	NaN	NaN	NaN	NaN	0.2	0
Nash Knight	0	2151	NaN	NaN	NaN	NaN	0.2	0
Jared Reaves	0	2152	NaN	NaN	NaN	NaN	0.207	0
Mayo Acosta	0	2153	NaN	NaN	NaN	NaN	0.188	0
Gavin Sheets	0	2154	NaN	NaN	NaN	NaN	0.193	0
Aaron Whitefield	0	2155	NaN	NaN	NaN	NaN	0.202	0
Royce Lewis	0	2156	NaN	NaN	NaN	NaN	0.208	0
Grant Heyman	0	2157	NaN	NaN	NaN	NaN	0.201	0
David Urias	0	2158	NaN	NaN	NaN	NaN	0.213	0
Reed Gamache	0	2159	NaN	NaN	NaN	NaN	0.2	0
Refugio Cervantes	0	2160	NaN	NaN	NaN	NaN	0.197	0
Jasson Atondo	0	2161	NaN	NaN	NaN	NaN	0.209	0
Richy Pedroza	0	2162	NaN	NaN	NaN	NaN	0.198	0
Jordan Zimmerman	0	2163	NaN	NaN	NaN	NaN	0.21	0
Sergio Garcia	0	2164	NaN	NaN	NaN	NaN	0.201	0
Steven Sensley	0	2165	NaN	NaN	NaN	NaN	0.188	0
Mark Thomas	0	2166	NaN	NaN	NaN	NaN	0.176	0
J.C. Rodriguez	0	2167	NaN	NaN	NaN	NaN	0.202	0
Sandro Fabian	0	2168	NaN	NaN	NaN	NaN	0.212	0
Christian Zazueta	0	2169	NaN	NaN	NaN	NaN	0.214	0
Austin Listi	0	2170	NaN	NaN	NaN	NaN	0.192	0
Eduardo de Oleo	0	2171	NaN	NaN	NaN	NaN	0.192	0
Angelo Castellano	0	2172	NaN	NaN	NaN	NaN	0.205	0
TJ Olesczuk	0	2173	NaN	NaN	NaN	NaN	0.197	0
Ty Washington	0	2174	NaN	NaN	NaN	NaN	0.201	0
Josmar Cordero	0	2175	NaN	NaN	NaN	NaN	0.199	0
Jeff Roy	0	2176	NaN	NaN	NaN	NaN	0.198	0
Jose Martinez	0	2177	NaN	NaN	NaN	NaN	0.209	0
Javier Guerra	1.333	2178	0.75	1.5	2.25	0	0.198	8
Brad Hartong	0	2179	NaN	NaN	NaN	NaN	0.204	0
Joseph Daris	0	2180	NaN	NaN	NaN	NaN	0.199	0
Brian Bien	0	2181	NaN	NaN	NaN	NaN	0.218	0
Omar Estevez	0	2182	NaN	NaN	NaN	NaN	0.209	0
Heiker Meneses	0	2183	NaN	NaN	NaN	NaN	0.21	0
Austin Bossart	0	2184	NaN	NaN	NaN	NaN	0.206	0
Brandon Dulin	0	2185	NaN	NaN	NaN	NaN	0.183	0
Robert Garcia	0	2186	NaN	NaN	NaN	NaN	0.205	0
Avain Rachal	0	2187	NaN	NaN	NaN	NaN	0.182	0
Christian Kelley	0	2188	NaN	NaN	NaN	NaN	0.203	0
Josh Vidales	0	2189	NaN	NaN	NaN	NaN	0.207	0
Andres Gimenez	0	2190	NaN	NaN	NaN	NaN	0.204	0
Dylan Burdeaux	0	2191	NaN	NaN	NaN	NaN	0.199	0
Carlos Morales	0	2192	NaN	NaN	NaN	NaN	0.204	0
Luis Alejandro Basabe	0	2193	NaN	NaN	NaN	NaN	0.194	0
Mandy Alvarez	0	2194	NaN	NaN	NaN	NaN	0.212	0
Jeremy Rivera	0	2195	NaN	NaN	NaN	NaN	0.219	0
Samar Leyva	0	2196	NaN	NaN	NaN	NaN	0.215	0
Andruw Monasterio	0	2197	NaN	NaN	NaN	NaN	0.21	0
Eric Gutierrez	0	2198	NaN	NaN	NaN	NaN	0.195	0
Abraham Toro-Hernandez	0	2199	NaN	NaN	NaN	NaN	0.184	0
Justin Higley	0	2200	NaN	NaN	NaN	NaN	0.189	0
Austin Rei	0	2201	NaN	NaN	NaN	NaN	0.188	0
Chas McCormick	0	2202	NaN	NaN	NaN	NaN	0.201	0
Chuck Moorman	0	2203	NaN	NaN	NaN	NaN	0.206	0
Louis Silverio	0	2204	NaN	NaN	NaN	NaN	0.208	0
Rogelio Noris	0	2205	NaN	NaN	NaN	NaN	0.197	0
Brendon Hayden	0	2206	NaN	NaN	NaN	NaN	0.198	0
Jeff Diehl	0	2207	NaN	NaN	NaN	NaN	0.18	0
Jakson Reetz	0	2208	NaN	NaN	NaN	NaN	0.189	0
Michael Cruz	0	2209	NaN	NaN	NaN	NaN	0.191	0
Dalton Wheat	0	2210	NaN	NaN	NaN	NaN	0.198	0
Travis Blankenhorn	0	2211	NaN	NaN	NaN	NaN	0.198	0
Alexis Rivera	0	2212	NaN	NaN	NaN	NaN	0.199	0
Anfernee Seymour	0	2213	NaN	NaN	NaN	NaN	0.214	0
Andrew Sohn	0	2214	NaN	NaN	NaN	NaN	0.198	0
Luis Gonzalez	0	2215	NaN	NaN	NaN	NaN	0.184	0
Jose Jr. Vizcaino	0	2216	NaN	NaN	NaN	NaN	0.198	0
Saige Jenco	0	2217	NaN	NaN	NaN	NaN	0.191	0
Nick Banks	0	2218	NaN	NaN	NaN	NaN	0.209	0
Alberto Querales	0	2219	NaN	NaN	NaN	NaN	0.203	0
Eloy Gutierrez	0	2220	NaN	NaN	NaN	NaN	0.191	0
Jake Fraley	0	2221	NaN	NaN	NaN	NaN	0.192	0
Vance Vizcaino	0	2222	NaN	NaN	NaN	NaN	0.203	0
Cesar Diaz	0	2223	NaN	NaN	NaN	NaN	0.192	0
Brandon Sandoval	0	2224	NaN	NaN	NaN	NaN	0.206	0
Gilberto Carrera	0	2225	NaN	NaN	NaN	NaN	0.203	0
Andrew Brodbeck	0	2226	NaN	NaN	NaN	NaN	0.202	0
Carlos Orrantia	0	2227	NaN	NaN	NaN	NaN	0.207	0
Carlos Herrera	0	2228	NaN	NaN	NaN	NaN	0.212	0
Angelo Amendolare	0	2229	NaN	NaN	NaN	NaN	0.201	0
Jacob Zanon	0	2230	NaN	NaN	NaN	NaN	0.192	0
Randy Ventura	0	2231	NaN	NaN	NaN	NaN	0.208	0
Dalton Blaser	0	2232	NaN	NaN	NaN	NaN	0.194	0
Cristian Pache	0	2233	NaN	NaN	NaN	NaN	0.209	0
J.P. Ramirez	0	2234	NaN	NaN	NaN	NaN	0.206	0
Michael Danner	0	2235	NaN	NaN	NaN	NaN	0.194	0
Yeyson Yrizarri	0	2236	NaN	NaN	NaN	NaN	0.216	0
Ryan McKenna	0	2237	NaN	NaN	NaN	NaN	0.196	0
Fernando Alejos	0	2238	NaN	NaN	NaN	NaN	0.189	0
Luis Valdes	0	2239	NaN	NaN	NaN	NaN	0.209	0
Wladimir Galindo	0	2240	NaN	NaN	NaN	NaN	0.192	0
Danny Woodrow	0	2241	NaN	NaN	NaN	NaN	0.208	0
Rafael P Valera	0	2242	NaN	NaN	NaN	NaN	0.191	0
Rayder Ascanio	0	2243	NaN	NaN	NaN	NaN	0.199	0
Taylor Kohlwey	0	2244	NaN	NaN	NaN	NaN	0.199	0
George Iskenderian	0	2245	NaN	NaN	NaN	NaN	0.207	0
Oswaldo Cabrera	0	2246	NaN	NaN	NaN	NaN	0.209	0
Ryan Hissey	0	2247	NaN	NaN	NaN	NaN	0.198	0
Emerson Jimenez	0	2248	NaN	NaN	NaN	NaN	0.207	0
Edgar Quintero	0	2249	NaN	NaN	NaN	NaN	0.19	0
Danny Hudzina	0	2250	NaN	NaN	NaN	NaN	0.199	0
Anderson Franco	0	2251	NaN	NaN	NaN	NaN	0.19	0
Mike Meyers	0	2252	NaN	NaN	NaN	NaN	0.204	0
Anderson Tejeda	0	2253	NaN	NaN	NaN	NaN	0.195	0
Grenny Cumana	0	2254	NaN	NaN	NaN	NaN	0.214	0
Anthony Hermelyn	0	2255	NaN	NaN	NaN	NaN	0.188	0
Tad Gold	0	2256	NaN	NaN	NaN	NaN	0.188	0
Trent Gilbert	0	2257	NaN	NaN	NaN	NaN	0.209	0
Carlos Duran	0	2258	NaN	NaN	NaN	NaN	0.197	0
Wilfredo Rodriguez	0	2259	NaN	NaN	NaN	NaN	0.2	0
Daniel Barrios	0	2260	NaN	NaN	NaN	NaN	0.19	0
Arquimedes Gamboa	0	2261	NaN	NaN	NaN	NaN	0.195	0
Alexis Bastardo	0	2262	NaN	NaN	NaN	NaN	0.2	0
Brett Netzer	0	2263	NaN	NaN	NaN	NaN	0.21	0
Jimmy Kerrigan	0	2264	NaN	NaN	NaN	NaN	0.198	0
Bryan Mejia	0	2265	NaN	NaN	NaN	NaN	0.214	0
Thomas Milone	0	2266	NaN	NaN	NaN	NaN	0.194	0
Juan Yepez	0	2267	NaN	NaN	NaN	NaN	0.204	0
Luis Silverio	0	2268	NaN	NaN	NaN	NaN	0.202	0
Colton Frabasilio	0	2269	NaN	NaN	NaN	NaN	0.19	0
Jose Martinez	0	2270	NaN	NaN	NaN	NaN	0.194	0
Alex De Goti	0	2271	NaN	NaN	NaN	NaN	0.191	0
Said Gutierrez	0	2272	NaN	NaN	NaN	NaN	0.2	0
Brendon Davis	0	2273	NaN	NaN	NaN	NaN	0.189	0
Jonathan McCray	0	2274	NaN	NaN	NaN	NaN	0.204	0
Henrry Rosario	0	2275	NaN	NaN	NaN	NaN	0.195	0
Franklin Rollin	0	2276	NaN	NaN	NaN	NaN	0.206	0
Roman Pena	0	2277	NaN	NaN	NaN	NaN	0.166	0
Matt Fiedler	0	2278	NaN	NaN	NaN	NaN	0.199	0
Connor Justus	0	2279	NaN	NaN	NaN	NaN	0.184	0
Branden Boggetto	0	2280	NaN	NaN	NaN	NaN	0.213	0
Natanael Delgado	0	2281	NaN	NaN	NaN	NaN	0.196	0
Edwin Lora	0	2282	NaN	NaN	NaN	NaN	0.202	0
Ramon Orantes	0	2283	NaN	NaN	NaN	NaN	0.202	0
Luis Porchas	0	2284	NaN	NaN	NaN	NaN	0.2	0
Henry Castillo	0	2285	NaN	NaN	NaN	NaN	0.204	0
Granger Studdard	0	2286	NaN	NaN	NaN	NaN	0.19	0
Kramer Robertson	0	2287	NaN	NaN	NaN	NaN	0.204	0
Alfredo Rodriguez	0	2288	NaN	NaN	NaN	NaN	0.213	0
Connor Oliver	0	2289	NaN	NaN	NaN	NaN	0.187	0
Iker Franco	0	2290	NaN	NaN	NaN	NaN	0.189	0
Mick Fennell	0	2291	NaN	NaN	NaN	NaN	0.202	0
Robelys Reyes	0	2292	NaN	NaN	NaN	NaN	0.215	0
Elio Castillo	0	2293	NaN	NaN	NaN	NaN	0.2	0
Matt McLaughlin	0	2294	NaN	NaN	NaN	NaN	0.206	0
Austin Diemer	0	2295	NaN	NaN	NaN	NaN	0.196	0
Elvis Rubio	0	2296	NaN	NaN	NaN	NaN	0.195	0
Pat Porter	0	2297	NaN	NaN	NaN	NaN	0.185	0
Jeff Boehm	0	2298	NaN	NaN	NaN	NaN	0.194	0
Adam Haseley	0	2299	NaN	NaN	NaN	NaN	0.192	0
Brant Whiting	0	2300	NaN	NaN	NaN	NaN	0.182	0
Steven Pallares	0	2301	NaN	NaN	NaN	NaN	0.186	0
Leonardo Rivas	0	2302	NaN	NaN	NaN	NaN	0.196	0
Jesus Alastre	0	2303	NaN	NaN	NaN	NaN	0.204	0
Taylor Jones	0	2304	NaN	NaN	NaN	NaN	0.187	0
Jack Kruger	0	2305	NaN	NaN	NaN	NaN	0.198	0
Angel Reyes	0	2306	NaN	NaN	NaN	NaN	0.196	0
Stuart Levy	0	2307	NaN	NaN	NaN	NaN	0.187	0
Junior Arrojo	0	2308	NaN	NaN	NaN	NaN	0.193	0
Dylan Carlson	0	2309	NaN	NaN	NaN	NaN	0.188	0
James Nelson	0	2310	NaN	NaN	NaN	NaN	0.202	0
Kelvin Beltre	0	2311	NaN	NaN	NaN	NaN	0.195	0
Javier Salazar	0	2312	NaN	NaN	NaN	NaN	0.2	0
Chad Christensen	0	2313	NaN	NaN	NaN	NaN	0.193	0
Jose Carlos Urena	0	2314	NaN	NaN	NaN	NaN	0.18	0
Logan Wade	0	2315	NaN	NaN	NaN	NaN	0.203	0
Stephen Smith	0	2316	NaN	NaN	NaN	NaN	0.182	0
Josh Rojas	0	2317	NaN	NaN	NaN	NaN	0.193	0
Rudy Martin	0	2318	NaN	NaN	NaN	NaN	0.189	0
Kewby Meyer	0	2319	NaN	NaN	NaN	NaN	0.201	0
Jaime Ojeda	0	2320	NaN	NaN	NaN	NaN	0.191	0
Brad Zunica	0	2321	NaN	NaN	NaN	NaN	0.177	0
Garrett Boulware	0	2322	NaN	NaN	NaN	NaN	0.197	0
Alberto Mineo	0	2323	NaN	NaN	NaN	NaN	0.197	0
Ricardo Valenzuela	0	2324	NaN	NaN	NaN	NaN	0.194	0
Travis Maezes	0	2325	NaN	NaN	NaN	NaN	0.18	0
Anfernee Grier	0	2326	NaN	NaN	NaN	NaN	0.195	0
Colby Fitch	0	2327	NaN	NaN	NaN	NaN	0.179	0
Ryan Nagle	0	2328	NaN	NaN	NaN	NaN	0.203	0
Rod Boykin	0	2329	NaN	NaN	NaN	NaN	0.187	0
Gerrion Grim	0	2330	NaN	NaN	NaN	NaN	0.186	0
Keston Hiura	0	2331	NaN	NaN	NaN	NaN	0.204	0
Anthony Concepcion	0	2332	NaN	NaN	NaN	NaN	0.188	0
Blake Rutherford	0	2333	NaN	NaN	NaN	NaN	0.194	0
Jace Conrad	0	2334	NaN	NaN	NaN	NaN	0.206	0
Bret Boswell	0	2335	NaN	NaN	NaN	NaN	0.202	0
David Sopilka	0	2336	NaN	NaN	NaN	NaN	0.196	0
Wade Kirkland	0	2337	NaN	NaN	NaN	NaN	0.202	0
Adrian Valerio	0	2338	NaN	NaN	NaN	NaN	0.207	0
Fidel Pena	0	2339	NaN	NaN	NaN	NaN	0.198	0
Drew Turbin	0	2340	NaN	NaN	NaN	NaN	0.192	0
Danny Edgeworth	0	2341	NaN	NaN	NaN	NaN	0.2	0
Albino Contreras	0	2342	NaN	NaN	NaN	NaN	0.192	0
Chris Pieters	0	2343	NaN	NaN	NaN	NaN	0.195	0
Matt Gonzalez	0	2344	NaN	NaN	NaN	NaN	0.208	0
Manny Olloque	0	2345	NaN	NaN	NaN	NaN	0.199	0
Edwin Diaz	0	2346	NaN	NaN	NaN	NaN	0.19	0
Aramis Ademan	0	2347	NaN	NaN	NaN	NaN	0.205	0
Cole Bauml	0	2348	NaN	NaN	NaN	NaN	0.205	0
Derek Hill	0	2349	NaN	NaN	NaN	NaN	0.196	0
Valentin Gamez	0	2350	NaN	NaN	NaN	NaN	0.196	0
Bruce Yari	0	2351	NaN	NaN	NaN	NaN	0.182	0
Jose Azocar	0	2352	NaN	NaN	NaN	NaN	0.21	0
Shane Carrier	0	2353	NaN	NaN	NaN	NaN	0.2	0
